treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_total_value_high,PDS,3196,0.429599499374218,0.05,,0.0689498118471963,0.0261087679880111,0.0177775669099824,0.12012205678441,2.6408680746199,0.0082693912841512,6.89498118471963,1.77775669099824,12.012205678441,7.13824370935334,1.79365284385062,12.7634478618498,,,,,,
seller_N_1_total_value_high,PDS,3166,0.424194567277322,0.05,,-0.12923796693292,0.0232457954751759,-0.174798888856249,-0.0836770450095909,-5.55962763549789,2.70350826119142e-08,-12.923796693292,-17.4798888856249,-8.36770450095909,-12.1235176307704,-16.0374138091868,-8.02717610389133,,,,,,
buyer_N_total_value_high,PDS,3646,0.501097092704334,0.05,,0.0375853677661043,0.0208685631179748,-0.00331626435422711,0.0784869998864357,1.80105202038231,0.0716946810858952,3.75853677661043,-0.331626435422711,7.84869998864357,3.8300630703932,-0.331077162305404,8.16492935072231,,,,,,
buyer_N_1_total_value_high,PDS,3638,0.49890049477735,0.05,,-0.0629043229669306,0.0195567803661137,-0.101234908138073,-0.0245737377957877,-3.21649687675205,0.00129765946054084,-6.29043229669306,-10.1234908138073,-2.45737377957877,-6.09666866873585,-9.6279283401446,-2.42742615995394,,,,,,
buyer_N_gaspaid_high,PDS,3631,0.497934453318645,0.05,,-0.0555911349992066,0.0222752566684921,-0.0992498358158369,-0.0119324341825764,-2.49564509296268,0.0125728324976112,-5.55911349992066,-9.92498358158369,-1.19324341825764,-5.40741872061182,-9.44835506799081,-1.18615250097233,,,,,,
buyer_N_1_gaspaid_high,PDS,3501,0.47957726363896,0.05,,0.0907677465492696,0.0241821836760108,0.0433715374767561,0.138163955621783,3.75349669679803,0.000174384831363667,9.07677465492696,4.33715374767561,13.8163955621783,9.50146547905464,4.43258289635236,14.816378274978,,,,,,
seller_N_gaspaid_high,PDS,3221,0.436199937907482,0.05,,-0.0307098282151777,0.0263500689074956,-0.0823550142640177,0.0209353578336623,-1.16545532852257,0.243834732418548,-3.07098282151777,-8.23550142640177,2.09353578336623,-3.02430716478859,-7.90550479405833,2.11560397653972,,,,,,
seller_N_1_gaspaid_high,PDS,3258,0.440454266421117,0.05,,0.119709091450108,0.0269623680534047,0.066863821127522,0.172554361772695,4.43985822065033,9.00181615520727e-06,11.9709091450108,6.6863821127522,17.2554361772695,12.716890080943,6.91498726364606,18.8336418933424,,,,,,
buyer_N_gaslimit_cost_high,PDS,3646,0.5,0.05,,0.0306392001641111,0.0173047167856058,-0.00327742149834207,0.0645558218265642,1.77056929296855,0.0766323520454234,3.06392001641111,-0.327742149834207,6.45558218265642,3.11134112155225,-0.327205661509811,6.66851208945609,,,,,,
buyer_N_1_gaslimit_cost_high,PDS,3611,0.504846302963168,0.05,,0.022184229052032,0.0229108002359958,-0.0227201142675116,0.0670885723715756,0.968286957396525,0.332901076696763,2.2184229052032,-2.27201142675116,6.70885723715756,2.24321288225149,-2.24639561196189,6.93901924054874,,,,,,
seller_N_gaslimit_cost_high,PDS,3238,0.437615812229771,0.05,,0.00540863002205349,0.024726922376857,-0.0430552472851038,0.0538725073292108,0.21873446034334,0.826856903458062,0.540863002205349,-4.30552472851038,5.38725073292108,0.542328306713324,-4.2141530474769,5.53500441819343,,,,,,
seller_N_1_gaslimit_cost_high,PDS,3238,0.437306979617048,0.05,,-0.0222023020031424,0.0260833899601187,-0.0733248069196886,0.0289202029134038,-0.851204618613209,0.394655697631897,-2.22023020031424,-7.33248069196886,2.89202029134038,-2.1957644891466,-7.07010617254289,2.93424526690032,,,,,,
