treatment,alpha_used,n_total,n_kept,kept_pct,prop_quant_all,prop_quant_kept
seller_N_total_value_high,0.05,3646,3196,87.6577070762479,"min=0.100, p5=0.126, p25=0.222, p50=0.453, p75=0.739, p95=0.978, max=0.992","min=0.100, p5=0.124, p25=0.206, p50=0.384, p75=0.638, p95=0.915, max=0.950"
seller_N_1_total_value_high,0.05,3646,3166,86.8348875479978,"min=0.141, p5=0.192, p25=0.255, p50=0.377, p75=0.779, p95=0.978, max=0.992","min=0.141, p5=0.187, p25=0.245, p50=0.331, p75=0.592, p95=0.913, max=0.950"
buyer_N_total_value_high,0.05,3646,3646,100,"min=0.143, p5=0.173, p25=0.238, p50=0.522, p75=0.716, p95=0.861, max=0.937","min=0.143, p5=0.173, p25=0.238, p50=0.522, p75=0.716, p95=0.861, max=0.937"
buyer_N_1_total_value_high,0.05,3646,3638,99.7805814591333,"min=0.104, p5=0.148, p25=0.253, p50=0.458, p75=0.749, p95=0.913, max=0.960","min=0.104, p5=0.148, p25=0.252, p50=0.457, p75=0.748, p95=0.912, max=0.950"
buyer_N_gaspaid_high,0.05,3646,3631,99.5885902358749,"min=0.102, p5=0.141, p25=0.260, p50=0.506, p75=0.743, p95=0.899, max=0.962","min=0.102, p5=0.141, p25=0.260, p50=0.500, p75=0.740, p95=0.892, max=0.950"
buyer_N_1_gaspaid_high,0.05,3646,3501,96.023038946791,"min=0.118, p5=0.170, p25=0.267, p50=0.454, p75=0.746, p95=0.941, max=0.978","min=0.118, p5=0.168, p25=0.263, p50=0.435, p75=0.720, p95=0.880, max=0.950"
seller_N_gaspaid_high,0.05,3646,3221,88.3433900164564,"min=0.086, p5=0.130, p25=0.216, p50=0.451, p75=0.775, p95=0.974, max=0.989","min=0.086, p5=0.127, p25=0.200, p50=0.364, p75=0.667, p95=0.912, max=0.950"
seller_N_1_gaspaid_high,0.05,3646,3258,89.3582007679649,"min=0.095, p5=0.131, p25=0.233, p50=0.423, p75=0.802, p95=0.968, max=0.986","min=0.095, p5=0.129, p25=0.216, p50=0.373, p75=0.665, p95=0.911, max=0.950"
buyer_N_gaslimit_cost_high,0.05,3646,3646,100,"min=0.094, p5=0.165, p25=0.318, p50=0.518, p75=0.686, p95=0.781, max=0.860","min=0.094, p5=0.165, p25=0.318, p50=0.518, p75=0.686, p95=0.781, max=0.860"
buyer_N_1_gaslimit_cost_high,0.05,3646,3611,99.0400438837082,"min=0.045, p5=0.067, p25=0.291, p50=0.561, p75=0.725, p95=0.802, max=0.860","min=0.050, p5=0.073, p25=0.299, p50=0.566, p75=0.726, p95=0.803, max=0.860"
seller_N_gaslimit_cost_high,0.05,3646,3238,88.8096544157981,"min=0.136, p5=0.200, p25=0.288, p50=0.405, p75=0.717, p95=0.972, max=0.990","min=0.136, p5=0.197, p25=0.276, p50=0.375, p75=0.537, p95=0.905, max=0.950"
seller_N_1_gaslimit_cost_high,0.05,3646,3238,88.8096544157981,"min=0.133, p5=0.178, p25=0.253, p50=0.372, p75=0.797, p95=0.971, max=0.991","min=0.133, p5=0.176, p25=0.243, p50=0.344, p75=0.644, p95=0.912, max=0.950"
